state,year,race,pct_black,fed,fed_state,total_funds
AL,1900,white,45.2,49005,118385,167390
AR,1900,white,28,43582,76812,120394
DE,1900,white,16.6,46740,61750,108490
FL,1900,white,43.7,36607,58107,94714
GA,1900,white,46.7,33621,101475,135096
KY,1900,white,13.3,40697,72178,112875
LA,1900,white,47.1,40780,73780,114560
MD,1900,white,19.8,45833,132033,177866
MS,1900,white,58.5,32532,202561,235093
MO,1900,white,5.2,60528,197660,258188
NC,1900,white,33,38735,103735,142470
OK,1900,white,7,37499,104979,142478
SC,1900,white,58.4,33254,188334,221588
TN,1900,white,23.8,63960,103960,167920
TX,1900,white,20.4,48050,227045,275095
VA,1900,white,35.6,52326,170960,223286
WV,1900,white,4.5,41168,221818,262986
AL,1900,black,45.2,11225,"28,225",39450
AR,1900,black,28,6818,"10,068",16886
DE,1900,black,16.6,5000,"5,000",10000
FL,1900,black,43.7,12500,"19,500",32000
GA,1900,black,46.7,8333,"18,108",26441
KY,1900,black,13.3,4881,"7,881",12762
LA,1900,black,47.1,12893,"23,133",36026
MD,1900,black,19.8,4500,"6,500",11000
MS,1900,black,58.5,20198,"35,298",55496
MO,1900,black,5.2,1340,"16,635",17975
NC,1900,black,33,8765,"24,340",33105
OK,1900,black,7,2500,"21,377",23877
SC,1900,black,58.4,18254,"26,404",44658
TN,1900,black,23.8,0,"3,870",3870
TX,1900,black,20.4,6250,"41,575",47825
VA,1900,black,35.6,18662,"34,062",52724
WV,1900,black,4.5,5000,"26,737",31737
US,1900,white,,"744,927","2,215,572",2960499
US,1900,black,,"147,119","348,713",495832
AL,1910,white,42.5,"70,399","421,969",492368
AR,1910,white,28.1,"88,941","270,441",359382
DE,1910,white,15.4,"64,900","69,980",134880
FL,1910,white,41,"62,620","257,620",320240
GA,1910,white,45.1,"43,621","332,121",375742
KY,1910,white,11.4,"86,302","269,282",355584
LA,1910,white,43.1,"93,731","214,831",308562
MD,1910,white,17.9,"80,797",253222,334019
MS,1910,white,56.2,"63,676","266,405",330081
MO,1910,white,4.8,"81,466","940,816",1022282
NC,1910,white,31.6,"62,300","369,450",431750
OK,1910,white,8.3,"94,690","569,784",664474
SC,1910,white,55.2,"53,754","414,353",468107
TN,1910,white,21.7,"107,110","158,056",265166
TX,1910,white,17.7,"89,680","732,330",822010
VA,1910,white,32.6,"80,326","427,026",507352
WV,1910,white,5.3,"66,485","309,335",375820
AL,1910,black,42.5,"17,881","29,381",47262
AR,1910,black,28.1,"10,909","22,509",33418
DE,1910,black,15.4,"8,000","8,000",16000
FL,1910,black,41,"20,000","25,000",45000
GA,1910,black,45.1,"13,333","21,333",34666
KY,1910,black,11.4,"5,800","21,853",27653
LA,1910,black,43.1,"17,851","28,601",46452
MD,1910,black,17.9,"8,000","25,500",33500
MS,1910,black,56.2,"32,305","40,790",73095
MO,1910,black,4.8,"2,500","58,050",60550
NC,1910,black,31.6,"13,200","47,149",60349
OK,1910,black,8.3,"4,000","46,500",50500
SC,1910,black,55.2,"25,873","33,487",59360
TN,1910,black,21.7,0,"9,680",9680
TX,1910,black,17.7,"10,000","48,750",58750
VA,1910,black,32.6,"26,662","50,487",77149
WV,1910,black,5.3,"8,000","45,150",53150
US,1910,white,,"1,290,798","6,277,021",7567819
US,1910,black,,"224,314","562,220",786534
AL,1922,white,38.4,"300,055","1,360,613",1660668
AR,1922,white,27,"225,471","831,172",1056643
DE,1922,white,13.6,"100,145","283,826",383971
FL,1922,white,34,"192,351","817,001",1009352
GA,1922,white,41.7,"275,984","1,157,613",1433597
KY,1922,white,9.8,"285,843","1,468,321",1754164
LA,1922,white,38.9,"222,156","1,996,229",2218385
MD,1922,white,16.9,"164,962","1,227,657",1392619
MS,1922,white,52.2,"223,038","1,807,697",2030735
MO,1922,white,5.2,"291,010","2,991,265",3282275
NC,1922,white,29.8,"338,792","3,530,133",3868925
