year,land_val_per_acre,CPI,landval_adj,south_farm_operators,south_farm_operators_nonwhite,south_farm_operators_white,south_farm_tenants_nonwhite,south_tenants_white,total_operators,operators_black,operators_white,operators_other,operators_white,operators_white_full,operators_white_part,operators_white_manage,operators_white_tenants,operators_white_croppers,operators_non_white,operators_non_white_full,operators_non_white_part,operators_non_white_manage,operators_non_white_tenants,operators_non_white_croppers
1850,11,25,44,,,,,,,,,,,,,,,,,,,,,
1860,16,27,59.25925926,,,,,,,,,,,,,,,,,,,,,
1870,18,38,47.36842105,,,,,,,,,,,,,,,,,,,,,
1880,19,29,65.51724138,,,,,,,,,,,,,,,,,,,,,
1890,21,27,77.77777778,,,,,,,,,,,,,,,,,,,,,
1900,20,25,80,,,,,,"5,739,657","746,717","4,970,129","22,811","1,879,721","1,078,635","105,171","17,172",,,"740,670","158,479","28,197","1,593",,
1910,40,28,142.8571429,3097547,"890,141","2,207,406","670,474","1,536,752","6,365,822","893,370","5,440,619","31,833","2,207,406","1,154,100","171,944","15,084",,,"890,141","175,290","43,177","1,200",,
1920,69,60.2,114.6179402,"3,206,664","922,914","2,283,750","703,555","1,591,121","6,453,991","925,708","5,498,454","29,829","2,283,750","1,227,204","152,432","16,548","660,188","227,378","922,914","178,558","39,031","1,770","369,842","333,713"
1925,54,52.7,102.4667932,"3,131,418","831,455","2,299,963","636,248","1,601,299",,,,,"2,299,963","1,173,778","150,875","10,259","686,315","278,736","831,455","159,651","34,889",667,"291,926","344,322"
1930,48,50.2,95.61752988,"3,223,816","881,687","2,342,129","698,839","1,790,783","6,295,103","882,850","5,372,578","39,675","2,342,129","1,050,187","183,469","16,529","708,563","383,381","881,687","140,496","41,523",829,"305,942","392,897"
1935,31,41.2,75.24271845,3421923,815747,"2,606,176","629,301","1,831,475",,,,,"2,606,176","1,189,833","198,768","15,401","854,326","347,848","815,747","150,113","35,952",381,"260,893","368,408"
1940,32,42.1,76.00950119,3007170,"680,266","2,326,904","506,638","1,449,293","6,102,417","681,790","5,377,728","42,899","2,326,904","1,185,788","185,246","13,215","700,482","242,173","680,266","141,902","31,361",365,"207,520","299,118"
1945,41,54.1,75.78558226,"2,881,135","665,413","2,215,722","475,739","1,165,279",,,,,"2,215,722","1,348,076","165,355","12,751","513,280","176,260","665,413","160,980","28,252",442,"205,443","270,296"
1950,65,72.3,89.90318119,"2,652,423","559,090","2,093,333","365,505","905,322","5,388,437","559,980","4,801,243","27,214","2,093,333","1,269,641","274,135","9,740","391,109","148,708","559,090","141,482","51,864",239,"167,448","198,057"
1954,84,80.7,104.0892193,"2,317,296","463,476","1,853,820","282,505","681,483",,,,,"1,853,820","1,145,372","300,280","9,190","291,562","107,416","463,476","129,854","50,736",381,"122,259","160,246"
1959,115,87.6,131.2785388,"1,645,028","265,621","1,379,407","138,048","366,267","3,707,973","272,541","3,423,361","12,071","1,379,407","856,864","285,418","8,906","180,569","47,650","265,621","89,749","37,534",290,"64,661","73,387"
1964,144,93.2,154.5064378,"1,372,732","184,578","1,188,154","82,371","253,500","3,157,857","184,004","2,957,905","15,948",,,,,,,,,,,,
1969,194,110.2,176.0435572,,,,,,"2,730,250","87,393","2,626,403","16,454",,,,,,,,,,,,
1974,336,148.2,226.7206478,,,,,,"2,314,013","45,594","2,254,642","13,777",,,,,,,,,,,,
1978,619,196,315.8163265,,,,,,"2,257,775","37,351","2,199,787","20,637",,,,,,,,,,,,
1982,784,290,270.3448276,,,,,,"2,240,976","33,250","2,186,609","21,117",,,,,,,,,,,,
1987,,,,,,,,,"2,087,759","22,954","2,043,119","21,686",,,,,,,,,,,,
1992,,,,,,,,,"1,925,300","18,816","1,881,813","24,671",,,,,,,,,,,,
1997,,,,,,,,,"1,911,859","18,451","1,864,201","29,207",,,,,,,,,,,,
